COUNTRY	COUNT	SECTOR	TRADE	OLD_UCM	CURRENCY	BORDER	FDI_2000	CROSSBORDER	Distance	FDI_2013	YCOUNTRYI	YCOUNTRYJ	cpi	HPCorr	SUMSIZE	EPL	PMR	FIIndex	latejoiner	HPCorrSA	UCM	HPOX
ITALY	NETHERLANDS	0.285228088	4.94E+11	0.76637454	1	0	93035.44368	0	1297.695	738004.8	28750637.2	11263201.5	0.808125	0.865224562	0.175156614	0.159310345	0.446549148	0	1	0.865224562	0.838315528	0.869512359
ITALY	POLAND	0.288974506	2.09E+11	0.621988891	0	0	7298.892717	0	1319.479	42395.4	28750637.2	6124098.5	1.8125	0.606168668	0.152660699	0.527241379	0.584812075	0	0	0.606168668	0.663784435	0.512390912
ITALY	PORTUGAL	0.197473949	82329902784	0.559132373	1	0	1453.202607	0	1864.041	14625.2	28750637.2	3134113.6	1.1475	0.681761007	0.139572337	1.764827586	0.18299935	0	1	0.681761007	0.63520445	0.735023187
ITALY	ROMANIA	0.441766928	1.88E+11	0.231925447	0	0	4067.329339	1	1139.559	20349.7	28750637.2	2204179.5	15.423125	0.424493201	0.135501642	0.067241379	0.05461215	0	0	0.424493201	0.37623813	0.574987862
ITALY	SLOVAKIA	0.296036089	65776220270	0.602271364	1	0	1184.956328	1	789.4631	11675.2	28750637.2	1127072.6	2.714375	0.692362083	0.130786714	0.456288998	0.047126283	0	0.5	0.692362083	0.71767379	0.709307334
ITALY	SLOVENIA	0.182797476	1.02E+11	0.744676127	1	1	1229.153495	1	492.3427	4590.3	28750637.2	624420.5	2.080625	0.823072683	0.128586404	0.198669951	0.05391175	0	0.5	0.823072683	0.824652813	0.860793725
ITALY	SPAIN	0.182631395	6.14E+11	0.783484553	1	0	47181.73174	0	1366.76	171569.3	28750637.2	18611818	0.0225	0.76003855	0.207324454	0.007931034	0.0636273	0	1	0.76003855	0.741084568	0.799333709
ITALY	SWEDEN	0.174752782	1.20E+11	0.773739177	0	0	1501.039673	0	1980.122	30022.4	28750637.2	6515395.8	3.00625	0.900374604	0.154373565	0.058275862	0.111999025	0	0	0.900374604	0.891349469	0.894986881
ITALY	UK	0.24250869	5.32E+11	0.642519156	0	0	20456.89151	0	1438.425	134132.5	28750637.2	33488892.7	3.24375	0.708037751	0.272447374	1.587908046	0.5641787	0	0	0.708037751	0.567083037	0.695846673
LATVIA	LITHUANIA	0.219665461	46505645789	0.806990482	1	1	861.6261232	0	263.4897	2224.1	334743.4	510304.1	3.6525	0.903082211	0.003699112	0.24	0.0921575	0	0.1	0.903082211	0.921579305	0.923272576
LATVIA	LUXEMBOURG	0.638870993	238269732	0.38387546	1	0	736.3912789	0	1440.968	645	334743.4	707794.6	6.0425	0.643675632	0.004563607	0.44	0.1100777	0	0.1	0.643675632	0.709892843	0.690232317
LATVIA	MALTA	0.331673831	25006579	-0.015971359	1	0	14.11057568	0	2449.608	14	334743.4	121287	6.589375	0.309147768	0.001996228	0.051724138	0.0401278	0	0.1	0.309147768	0.245879743	0.451609811
LATVIA	NETHERLANDS	0.358678895	11920809965	0.6145448	1	0	54263.49593	0	1332.481	381	334743.4	11263201.5	8.965	0.658342092	0.050768854	0.226551724	0.312657598	0	0.1	0.658342092	0.435119257	0.634989051
LATVIA	POLAND	0.225685975	17276932915	0.440349969	0	0	73.6286359	0	559.8441	496.3	334743.4	6124098.5	6.344375	0.374131864	0.02827294	0.46	0.718703625	0	0	0.374131864	0.172622966	0.284930018
LATVIA	PORTUGAL	0.209575127	488898451	0.065991514	1	0	932.015495	0	3152.139	13.9	334743.4	3134113.6	9.304375	0.156217274	0.015184578	1.832068966	0.3168909	0	0.1	0.156217274	-0.052932096	0.24315191
LATVIA	ROMANIA	0.462649178	516437845	0.533188887	0	0	18.49243639	0	1402.022	3	334743.4	2204179.5	7.26625	0.60674153	0.011113883	0	0.0792794	0	0	0.60674153	0.527807868	0.699926792
LATVIA	SLOVAKIA	0.289061985	2341421715	0.735029145	1	0	360.8143436	0	1083.025	69	334743.4	1127072.6	5.4425	0.684909375	0.006398955	0.389047619	0.086765267	0	0.1	0.684909375	0.671270054	0.680076901
LATVIA	SLOVENIA	0.3170161	550669413	0.639240921	1	0	9.097916007	0	1378.849	3.3	334743.4	624420.5	6.07625	0.711509681	0.004198645	0.131428571	0.1878033	0	0.1	0.711509681	0.545808874	0.719000894
LATVIA	SPAIN	0.150180125	4427152385	0.416817336	1	0	13689.536	0	2715.85	17	334743.4	18611818	8.134375	0.499167062	0.082936695	0.059310345	0.19751885	0	0.1	0.499167062	0.28881475	0.559783919
LATVIA	SWEDEN	0.298517545	13992257114	0.466243516	0	0	310.0700254	0	441.6495	10099.4	334743.4	6515395.8	11.163125	0.646765525	0.029985805	0.008965517	0.021892525	0	0	0.646765525	0.650258107	0.706838434
LATVIA	UK	0.386887019	15915165781	0.525632661	0	0	318.0545004	0	1680.389	352.1	334743.4	33488892.7	4.913125	0.825522152	0.148059615	1.520666667	0.43028715	0	0	0.825522152	0.88281113	0.860159039
LITHUANIA	LUXEMBOURG	0.78769675	543334666	0.595453392	1	0	0	0	1420.353	816.8	510304.1	707794.6	2.39	0.659952938	0.005332106	0.2	0.0179202	0	0.17	0.659952938	0.696848381	0.711275505
LITHUANIA	MALTA	0.476561009	31405910	0.290874085	1	0	0	0	2248.596	0	510304.1	121287	2.936875	0.394104937	0.002764727	0.291724138	0.0520297	0	0.17	0.394104937	0.217299195	0.507228976
LITHUANIA	NETHERLANDS	0.491095568	21311492068	0.644697861	1	0	20544.64657	0	1370.703	3559.4	510304.1	11263201.5	5.3125	0.702755531	0.051537354	0.466551724	0.220500098	0	0.17	0.702755531	0.385643167	0.645466349
LITHUANIA	POLAND	0.159397863	39589057893	0.545586171	0	1	3685.793452	0	393.7521	5396.9	510304.1	6124098.5	2.691875	0.348768989	0.02904144	0.22	0.810861125	0	0	0.348768989	0.086334736	0.259762844
LITHUANIA	PORTUGAL	0.352508544	1208936004	0.140641932	1	0	86.88203388	0	3123.619	0	510304.1	3134113.6	5.651875	0.229324684	0.015953077	2.072068966	0.4090484	0	0.17	0.229324684	-0.065514066	0.264360011
LITHUANIA	ROMANIA	0.428002744	1213497454	0.672533672	0	0	16.48829738	0	1144.111	38.9	510304.1	2204179.5	10.91875	0.706831515	0.011882383	0.24	0.1714369	0	0	0.706831515	0.548542932	0.734415775
LITHUANIA	SLOVAKIA	0.225565889	2249051103	0.874766858	1	0	45.43237323	0	918.5131	29.1	510304.1	1127072.6	1.79	0.821224656	0.007167454	0.149047619	0.178922767	0	0.17	0.821224656	0.703113777	0.758071126
LITHUANIA	SLOVENIA	0.272712546	1239951038	0.755596581	1	0	0	0	1225.651	3	510304.1	624420.5	2.42375	0.776299156	0.004967144	0.108571429	0.2799608	0	0.17	0.776299156	0.528761562	0.737722344
LITHUANIA	SPAIN	0.323133488	14503159840	0.418504401	1	0	9190.196915	0	2666.384	18.8	510304.1	18611818	4.481875	0.500815284	0.083705194	0.299310345	0.28967635	0	0.17	0.500815284	0.233404368	0.525706385
LITHUANIA	SWEDEN	0.351564557	19734097724	0.633053058	0	0	1170.688052	0	677.4822	11247.8	510304.1	6515395.8	7.510625	0.66569177	0.030754305	0.248965517	0.114050025	0	0	0.66569177	0.633373551	0.724992222
LITHUANIA	UK	0.581787791	17244926820	0.802379128	0	0	127.0614123	0	1729.554	526.4	510304.1	33488892.7	1.260625	0.843843467	0.148828115	1.280666667	0.33812965	0	0	0.843843467	0.893957772	0.873767411
LUXEMBOURG	MALTA	0.51954382	18308861	0.418640582	1	0	4893.557064	0	1669.155	49816	707794.6	121287	0.546875	0.497662635	0.003629223	0.491724138	0.0699499	0	0.5	0.497662635	0.508007931	0.558653732
